"Acting_PPG_Item_No","PPG_Cat","PPG_MFG","PPG_Item_No","Modelled_PPG_Description","model_RSq","model_CVErrorMean","model_CVErrorSD","model_coefficient_name","model_coefficient_value","TrainMAPE","approach_edlp","mean_edlp","std_edlp","rhat","approach_tpr","mean_tpr","std_tpr","Run","Reason","Model_flag","Retailer","Market","Brand","size_cuts","price_cuts","grp_based_on","Model_type","model_box","Modelled_PPG_Item_No","acting_box","Variable","CompKey_WB_Interaction","CompKey_WB_Interaction_TPR","CompKey_CB","CompKey_WB","CompKey_CB_TPR","CompKey_WB_TPR","CompKey","Acting_PPG_Item"
"ITEM103CTFRISKIESPARTYMIXCR","Cat Treats","NPP","ITEM103CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ",0.574140641567778,0,0,"wk_sold_median_base_price_byppg_log",-0.133118334378859,0.0554326349208499,"No Change",-0.85898441894841,0.737854231996137,0.999941304807428,"",NA,NA,"1st Pass","No Change",2,"Target","ROM",NA,NA,NA,NA,NA,"ROM","ITEM103CTFRISKIESPARTYMIXCR","ROM","Regular Price",NA,NA,NA,NA,NA,NA,"Regular Price","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ"
"ITEM103CTFRISKIESPARTYMIXCR","Cat Treats","NPP","ITEM103CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ",0.574140641567778,0,0,"ACV_Feat_Only",2.05917581017641,0.0554326349208499,"No Change",-0.85898441894841,0.737854231996137,1.00003788352491,"",NA,NA,"1st Pass","No Change",2,"Target","ROM",NA,NA,NA,NA,NA,"ROM","ITEM103CTFRISKIESPARTYMIXCR","ROM","ACV_Feat_Only",NA,NA,NA,NA,NA,NA,"ACV_Feat_Only","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ"
"ITEM103CTFRISKIESPARTYMIXCR","Cat Treats","NPP","ITEM103CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ",0.574140641567778,0,0,"ACV_Disp_Only",9.97194923753242,0.0554326349208499,"No Change",-0.85898441894841,0.737854231996137,0.999893932026568,"",NA,NA,"1st Pass","No Change",2,"Target","ROM",NA,NA,NA,NA,NA,"ROM","ITEM103CTFRISKIESPARTYMIXCR","ROM","ACV_Disp_Only",NA,NA,NA,NA,NA,NA,"ACV_Disp_Only","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ"
"ITEM103CTFRISKIESPARTYMIXCR","Cat Treats","NPP","ITEM103CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ",0.574140641567778,0,0,"ACV_Feat_Disp",9.37178985980447,0.0554326349208499,"No Change",-0.85898441894841,0.737854231996137,1.00002018061138,"",NA,NA,"1st Pass","No Change",2,"Target","ROM",NA,NA,NA,NA,NA,"ROM","ITEM103CTFRISKIESPARTYMIXCR","ROM","ACV_Feat_Disp",NA,NA,NA,NA,NA,NA,"ACV_Feat_Disp","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ"
"ITEM103CTFRISKIESPARTYMIXCR","Cat Treats","NPP","ITEM103CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ",0.574140641567778,0,0,"ACV_Selling",2.45967190876175,0.0554326349208499,"No Change",-0.85898441894841,0.737854231996137,0.999936682177491,"",NA,NA,"1st Pass","No Change",2,"Target","ROM",NA,NA,NA,NA,NA,"ROM","ITEM103CTFRISKIESPARTYMIXCR","ROM","ACV_Selling",NA,NA,NA,NA,NA,NA,"ACV_Selling","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ"
"ITEM103CTFRISKIESPARTYMIXCR","Cat Treats","NPP","ITEM103CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ",0.574140641567778,0,0,"flag_qtr2",-0.108934454602951,0.0554326349208499,"No Change",-0.85898441894841,0.737854231996137,0.999964489081445,"",NA,NA,"1st Pass","No Change",2,"Target","ROM",NA,NA,NA,NA,NA,"ROM","ITEM103CTFRISKIESPARTYMIXCR","ROM","flag_qtr2",NA,NA,NA,NA,NA,NA,"flag_qtr2","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ"
"ITEM103CTFRISKIESPARTYMIXCR","Cat Treats","NPP","ITEM103CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ",0.574140641567778,0,0,"flag_qtr3",-0.0793384175796134,0.0554326349208499,"No Change",-0.85898441894841,0.737854231996137,0.999974356225654,"",NA,NA,"1st Pass","No Change",2,"Target","ROM",NA,NA,NA,NA,NA,"ROM","ITEM103CTFRISKIESPARTYMIXCR","ROM","flag_qtr3",NA,NA,NA,NA,NA,NA,"flag_qtr3","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ"
"ITEM103CTFRISKIESPARTYMIXCR","Cat Treats","NPP","ITEM103CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ",0.574140641567778,0,0,"flag_qtr4",-0.0372745949448572,0.0554326349208499,"No Change",-0.85898441894841,0.737854231996137,0.999912290136025,"",NA,NA,"1st Pass","No Change",2,"Target","ROM",NA,NA,NA,NA,NA,"ROM","ITEM103CTFRISKIESPARTYMIXCR","ROM","flag_qtr4",NA,NA,NA,NA,NA,NA,"flag_qtr4","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ"
"ITEM103CTFRISKIESPARTYMIXCR","Cat Treats","NPP","ITEM103CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ",0.574140641567778,0,0,"category_trend",0.405584254776987,0.0554326349208499,"No Change",-0.85898441894841,0.737854231996137,1.00027324795062,"",NA,NA,"1st Pass","No Change",2,"Target","ROM",NA,NA,NA,NA,NA,"ROM","ITEM103CTFRISKIESPARTYMIXCR","ROM","category_trend",NA,NA,NA,NA,NA,NA,"category_trend","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ"
"ITEM1CTFRISKIESPARTYMIXCR","Cat Treats","NPP","ITEM1CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",0.800570450219594,0,0,"wk_sold_median_base_price_byppg_log",-1.52253994371025,0.0396782804718857,"No Change",-1.68787905406724,0.340135656345362,0.999978378021356,"",NA,NA,"1st Pass","No Change",2,"Target","ROM",NA,NA,NA,NA,NA,"ROM","ITEM1CTFRISKIESPARTYMIXCR","ROM","Regular Price",NA,NA,NA,NA,1,NA,"Regular Price","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ"
